id,lon,lat,z,type_of_entity,EntityHandle,families,non_family_hhs,parks,groceries,services,eating,bars,is_target
0P584,-71.08423320868813,42.36365248506725,0.0,PARKS,93959,False,False,True,False,False,False,False,True
0P585,-71.0843634802868,42.36345479754802,0.0,PARKS,9395A,False,False,True,False,False,False,False,True
0P586,-71.08512046959558,42.36374527334348,0.0,PARKS,9395B,False,False,True,False,False,False,False,True
0P587,-71.08498519800992,42.36394493072597,0.0,PARKS,9395C,False,False,True,False,False,False,False,True
0P588,-71.08569383957305,42.36422876998186,0.0,PARKS,9395D,False,False,True,False,False,False,False,True
0P589,-71.08585239427231,42.36404371249608,0.0,PARKS,9395E,False,False,True,False,False,False,False,True
0P590,-71.08505632734928,42.36384273262715,0.0,PARKS,9395F,False,False,True,False,False,False,False,True
0P591,-71.08499497528977,42.36479842512663,0.0,PARKS,93960,False,False,True,False,False,False,False,True
0P592,-71.08570223534521,42.36546826958291,0.0,PARKS,93961,False,False,True,False,False,False,False,True
0P594,-71.08355346925495,42.36554879411197,0.0,BANKS,9397E,False,False,False,False,True,False,False,True
0P595,-71.08307829071988,42.3656595097457,0.0,LIBRARY,93980,False,False,False,False,True,False,False,True
0P596,-71.08476439578808,42.36550089335135,0.0,HEALTH_CARE,93989,False,False,False,False,True,False,False,True
0P597,-71.0849616525196,42.365833738585614,0.0,LAUNDRY,93992,False,False,False,False,True,False,False,True
0P598,-71.08550746532948,42.363715375102814,0.0,RESTAURANT,93995,False,False,False,False,False,True,False,True
0P599,-71.0848317131515,42.36344462179386,0.0,RESTAURANT,93996,False,False,False,False,False,True,False,True
0P600,-71.08439158172935,42.36327405719291,0.0,RESTAURANT,93997,False,False,False,False,False,True,False,True
0P601,-71.08406434873106,42.363780677645465,0.0,RESTAURANT,93998,False,False,False,False,False,True,False,True
0P602,-71.08460006364442,42.36399058448895,0.0,RESTAURANT,93999,False,False,False,False,False,True,False,True
0P603,-71.08535364199072,42.36427855800331,0.0,RESTAURANT,9399A,False,False,False,False,False,True,False,True
0P604,-71.08613438860058,42.36427182420168,0.0,RESTAURANT,9399B,False,False,False,False,False,True,False,True
0P605,-71.0852295756754,42.3648858795365,0.0,CAFE,9399D,False,False,False,False,False,True,False,True
0P606,-71.0850838632078,42.364423744455664,0.0,CAFE,939A1,False,False,False,False,False,True,False,True
0P607,-71.08420873865622,42.36412369032782,0.0,BAR,939A4,False,False,False,False,False,False,True,True
0P608,-71.08646441414004,42.363866235501966,0.0,BAR,939A6,False,False,False,False,False,False,True,True
0P609,-71.08579147145427,42.36355814442172,0.0,BAR,939A8,False,False,False,False,False,False,True,True
0P610,-71.0849037998004,42.363206063371045,0.0,BAR,939A9,False,False,False,False,False,False,True,True
0P611,-71.08572757888271,42.364845514096686,0.0,BAR,939AA,False,False,False,False,False,False,True,True
0P612,-71.08631885656952,42.36501506550341,0.0,BAR,939AB,False,False,False,False,False,False,True,True
0P613,-71.08660112174042,42.364513161594544,0.0,BAR,939AC,False,False,False,False,False,False,True,True
1P445,-71.08649076768802,42.36442837791638,13.0,RESTAURANT,94489,False,False,False,False,False,True,False,True
1P450,-71.08529101048332,42.36480595620063,13.0,CONVENIENCE_STORE,944A6,False,False,False,True,False,False,False,True
1P451,-71.08568593643054,42.36352887867824,13.0,GROCERY_OR_SUPERMARKET,944A9,False,False,False,True,False,False,False,True
2P445,-71.08649076768802,42.36442837791638,26.0,RESTAURANT,94CE7,False,False,False,False,False,True,False,True
2P450,-71.08529101048332,42.36480595620063,26.0,CONVENIENCE_STORE,94CEC,False,False,False,True,False,False,False,True
2P451,-71.08568593643054,42.36352887867824,26.0,GROCERY_OR_SUPERMARKET,94CED,False,False,False,True,False,False,False,True
3P445,-71.08649076768802,42.36442837791638,39.0,RESTAURANT,94EDB,False,False,False,False,False,True,False,True
3P450,-71.08529101048332,42.36480595620063,39.0,CONVENIENCE_STORE,94EE0,False,False,False,True,False,False,False,True
3P451,-71.08568593643054,42.36352887867824,39.0,GROCERY_OR_SUPERMARKET,94EE1,False,False,False,True,False,False,False,True
4P445,-71.08649076768802,42.36442837791638,52.0,RESTAURANT,950CF,False,False,False,False,False,True,False,True
4P450,-71.08529101048332,42.36480595620063,52.0,CONVENIENCE_STORE,950D4,False,False,False,True,False,False,False,True
4P451,-71.08568593643054,42.36352887867824,52.0,GROCERY_OR_SUPERMARKET,950D5,False,False,False,True,False,False,False,True
5P445,-71.08649076768802,42.36442837791638,65.0,RESTAURANT,952C3,False,False,False,False,False,True,False,True
5P450,-71.08529101048332,42.36480595620063,65.0,CONVENIENCE_STORE,952C8,False,False,False,True,False,False,False,True
5P451,-71.08568593643054,42.36352887867824,65.0,GROCERY_OR_SUPERMARKET,952C9,False,False,False,True,False,False,False,True
6P445,-71.08649076768802,42.36442837791638,78.0,RESTAURANT,954B7,False,False,False,False,False,True,False,True
6P450,-71.08529101048332,42.36480595620063,78.0,CONVENIENCE_STORE,954BC,False,False,False,True,False,False,False,True
6P451,-71.08568593643054,42.36352887867824,78.0,GROCERY_OR_SUPERMARKET,954BD,False,False,False,True,False,False,False,True
